title,category,source,importance,credibility,label
"Gold climbs as shutdown fuels haven demand, eyes record high",unknown,fxstreet,0.6,0.75,1
"Stablecoin Blockchain Plasma Launches Neobank, Plasma One",crypto,the defiant,0.6,0.75,1
"Nemkov, Cyborg fights headline PFL Lyon in Dec.",sports,espn mma,0.6,0.9,1
Transforming the manufacturing industry with ChatGPT,unknown,openai blog,0.8,0.75,1
'Confucius' Cyberspy Evolves From Stealers to Backdoors in Pakistan,unknown,dark reading,0.6,0.75,1
Slack is giving AI unprecedented access to your workplace conversations,unknown,venturebeat,0.9,0.9,1
State of Crypto: What Happens to Crypto if Government Shutdown Lingers,crypto,coindesk altcoins,0.6,0.7,1
Brazil Industrial Output (MoM) above forecasts (0.3%) in August: Actual (0.8%),unknown,fxstreet,0.6,0.8,1
"Bonny gets hat trick of assists, goal in Inter win",sports,espn soccer,0.6,0.85,1
The U.S. Military’s Greatest Test,world,foreign affairs,0.8,0.75,1
IRS Guidance Limited in Scope but Good News for Crypto Treasury Firms,crypto,coindesk altcoins,0.6,0.7,1
Crypto Markets Slip as Geopolitical Concerns Resurface,crypto,the defiant,0.6,0.7,1
"Over Half of Bull Market Top Indicators Have Reached 50%, Data Shows",crypto,the defiant,0.7,0.7,1
Will pricing emissions from flying affect tourism? Not if it’s done right,world,climate home,0.6,0.75,1
UAT-8099 Hijacks Reputable Sites for SEO Fraud & Theft,unknown,dark reading,0.8,0.7,1
"ASTER VS HYPERLIQUID, XPL BULL & BEAR CASE, DAT TRADE IN TROUBLE",crypto,decrypt eth,0.8,0.7,1
The Blue Jays' playoff run starts with the AL's top seed -- and a modern Mr. October on their side,sports,espn mlb,0.6,0.9,1
Henry Zeffman: Burnham's provocative challenge to Starmer shows he is serious,world,bbc politics,0.6,0.7,1
Trump authorises National Guard deployment to Chicago despite objections,world,al jazeera,0.8,0.7,1
"Real Madrid beat Villarreal as Vinicius Jr scores two goals, Mbappe injured",world,al jazeera,0.8,0.85,1
"In new forest finance plan, 34 nations endorse Brazil’s rainforest fund",world,climate home,0.8,0.85,1
"Nearly 80% of Americans want Congress to extend ACA tax credits, poll finds",unknown,ars technica,0.8,0.8,1
Swarm to Launch Tokenized Stocks on Plasma Mainnet,crypto,the defiant,0.6,0.75,1
BlackRock subsidiary buys up 78 data centers totaling 5 gigawatts in $40 billion deal — AI vendor Aligned added to company's portfolio,unknown,tom's hardware,0.8,0.85,1
Movement Pivots to Layer 1 as On-Chain Activity Declines,crypto,the defiant,0.6,0.7,1
Working with US CAISI and UK AISI to build more secure AI systems,unknown,openai blog,0.8,0.75,1
Blockchain network revenues declined 16% in September: Report,crypto,cointelegraph btc,0.6,0.75,1
Federal Reserve issues FOMC statement,unknown,federal reserve,0.8,1.0,1
Maple’s $200 Million Plasma Vault Gets Filled Instantly,crypto,the defiant,0.6,0.7,1
Phishing Is Moving From Email to Mobile. Is Your Security?,unknown,dark reading,0.8,0.9,1
Empowering teams to unlock insights faster at OpenAI,unknown,openai blog,0.6,0.9,1
A new search engine raises $1.1M to let obsessive fans dive down internet rabbit holes,unknown,techcrunch startups,0.6,0.85,1
Hopes and fears in Gaza and Israel over potential ceasefire,world,bbc world,0.8,0.8,1
"Chip designer Jim Keller says Intel still has 'a lot of work to do' — would consider it for Tenstorrent AI chip production, already in talks with TSMC, Rapidus, and Samsung for 2nm tech",unknown,tom's hardware,0.6,0.85,1
Illinois utility tries using electric school buses for bidirectional charging,unknown,ars technica,0.6,0.8,1
Gisèle Pelicot returns to court after trial made her an icon - and tore her family apart,world,bbc world,0.8,0.75,1
"Prep is Underway, But 2026 FIFA World Cup Poses Significant Cyber Challenges",unknown,dark reading,0.8,0.9,1
"Fed's Logan warns inflation pressures persist, could be made worse",unknown,fxstreet,0.8,0.85,1
Industry says carbon capture still an expensive last resort to cut emissions,world,climate home,0.6,0.8,1
BNB Chain Active Users Reach All-Time High,crypto,the defiant,0.6,0.75,1
Buy it in ChatGPT: Instant Checkout and the Agentic Commerce Protocol,unknown,openai blog,0.6,0.7,1
Mbappé sprains ankle after extending goal streak,sports,espn soccer,0.6,0.75,1
Akira Hits SonicWall VPNs in Broad Ransomware Campaign,unknown,dark reading,0.8,0.85,1
UN climate chief says new national climate plans will fall short on emissions cuts,world,climate home,0.8,0.85,1
"Windows 11’s annual ’25H2′ update arrives, and it’s a weird one",unknown,pcworld,0.6,0.7,1
Machi Big Brother’s $44M profit shrinks to $9M loss on Hyperliquid,crypto,cointelegraph eth,0.6,0.7,1
"BNB Approaches $1,000 as Binance Looks to Escape DoJ Monitor",crypto,the defiant,0.8,0.7,1
"As Alcaraz wins another US Open title, can anyone challenge these Big Two?",sports,espn tennis,0.7,0.7,1
Colombia announces fossil fuel phase-out summit to be held in 2026,world,climate home,0.6,0.85,1
Why this could finally be the year for teams with longest World Series droughts,sports,espn mlb,0.6,0.7,1
It’s time for majority voting at UN climate summits,world,climate home,0.7,0.75,1
AUD/USD holds near 0.6600 as Greenback weakens on US shutdown and soft PMI data,unknown,fxstreet,0.6,0.8,1
Apple announces new iPhone with advanced AI features,unknown,apple.com,0.9,0.95,1
Salesforce AI Agents Forced to Leak Sensitive Data,unknown,dark reading,0.9,0.7,1
"Alcaraz wins Japan final, to miss Shanghai Masters",sports,espn tennis,0.6,0.95,1
Coinbase’s Layer 2 Base Teases Native Token,crypto,the defiant,0.6,0.7,1
"Cisco's Wave of Actively Exploited Zero-Day Bugs Targets Firewalls, IOS",unknown,dark reading,0.9,0.9,1
"Apple iPhone 17 Pro review: Come for the camera, stay for the battery",unknown,ars technica,0.6,0.8,1
"With Skubal up next, Tigers notch 'huge' G1 win",sports,espn mlb,0.6,0.7,1
Judge tosses lawsuit against Yuga Labs over failure to satisfy Howey test,crypto,cointelegraph nft,0.6,0.9,1
Statement on OpenAI’s Nonprofit and PBC,unknown,openai blog,0.8,0.7,1
"Brave browser keeps growing, crosses new milestone: 100 million users",unknown,pcworld,0.6,0.75,1
Starmer vows to protect Jewish communities after Manchester attack,world,bbc politics,0.8,0.85,1
Moonbirds to Launch BIRB Token on Solana Amid NFT Resurgence,crypto,the defiant,0.6,0.75,1
"Syria holds first elections since Assad, but not in all provinces",world,bbc world,0.6,0.75,1
Discord customer service data breach leaks user info and scanned photo IDs,unknown,the verge,0.8,0.8,1
Anchorage Digital Integrates Jupiter Into Porto Wallet,crypto,the defiant,0.6,0.8,1
CISA: Attackers Breach Federal Agency via Critical GeoServer Flaw,unknown,dark reading,0.8,0.9,1
Catching Criminals On-chain (Interview w/ Matt Price),crypto,decrypt eth,0.6,0.85,1
BNB Chain Proposes Gas Fee Cuts and Faster Blocks to Stay Competitive,crypto,the defiant,0.6,0.8,1
SWIFT Reportedly to Pilot On-Chain Network on Linea,crypto,the defiant,0.6,0.7,1
"Visa crackdowns are blocking students’ study-abroad dreams, so India’s Leverage Edu is rerouting them",unknown,techcrunch startups,0.6,0.75,1
Joe Lubin confirms SWIFT is using Linea to build its new payments system,crypto,cointelegraph eth,0.8,0.7,1
Combating online child sexual exploitation & abuse,unknown,openai blog,0.9,0.9,1
Salesforce launches AI 'trust layer' to tackle enterprise deployment failures plaguing 80% of projects,unknown,venturebeat,0.9,0.85,1
Pakistan: Deal ends days of Kashmir violent protests,world,dw world,0.8,0.75,1
UN raises COP30 allowance to help with Belém accommodation crisis,world,climate home,0.6,0.75,1
A People-First AI Fund: $50M to support nonprofits,unknown,openai blog,0.6,0.9,1
A biological 0-day? Threat-screening tools may miss AI-designed proteins.,unknown,ars technica,0.8,0.75,1
Easy Gains Vanish for DATs as They Face 'Critical Inflection Point': Coinbase,crypto,the defiant,0.8,0.75,1
Labour plans new law to ban fracking permanently,world,bbc politics,0.6,0.85,1
Fed's Jefferson nods to risks on both sides of the Fed's mandate,unknown,fxstreet,0.6,0.8,1
This browser-based AI wants to kill the worst part of your job,unknown,venturebeat,0.8,0.92,1
Trump offers universities a choice: Comply for preferential funding,unknown,ars technica,0.6,0.75,1
"BTC LEADS, GOVERNMENT SHUT DOWN FEARS, L1 ETFS MAY COME SOON",crypto,decrypt eth,0.8,0.75,1
The Return of the Starvation Weapon,world,foreign affairs,0.8,0.7,1
Tokenized Real-World Assets Surpass $30 Billion Amid Growing Institutional Adoption,crypto,the defiant,0.8,0.75,1
Npm Package Hides Malware in Steganographic QR Codes,unknown,dark reading,0.8,0.9,1
"At least 30 injured in Russian strike on railway station, Zelensky says",world,bbc world,0.8,0.85,1
"M5-powered iPad Pro breaks cover in GeekBench, scoring 4,133 in single-threaded tests — matches M4 Max and beats every single-core PC chip score",unknown,tom's hardware,0.8,0.7,1
Bitget exec sees ‘no logical reason’ for an altcoin season this cycle,crypto,cointelegraph eth,0.6,0.75,1
"Israel pounds Gaza, killing 70, despite Trump’s call for it to halt bombing",world,al jazeera,0.8,0.7,1
North Korea’s Kim vows additional military measures ahead of major parade,world,al jazeera,0.8,0.9,1
OCuLink outpaces Thunderbolt 5 in Nvidia RTX 5070 Ti tests — latter up to 14% slower on average in gaming benchmarks,unknown,tom's hardware,0.6,0.7,1
Stablecoin market boom to $300B is ‘rocket fuel’ for crypto rally,crypto,cointelegraph btc,0.8,0.75,1
Over 80% of Crypto Community Predicts New BTC All-Time High This Year: CoinGecko,crypto,the defiant,0.6,0.75,1
“Public health emergency”: Report shows fossil fuel impacts on every stage of life,world,climate home,0.8,0.75,1
Managed DeFi Yield Provider Tesseract Secures MiCA License,crypto,the defiant,0.6,0.7,1
Solstice Finance Launches USX Stablecoin and YieldVault,crypto,the defiant,0.6,0.7,1
The before and after images showing glaciers vanishing before our eyes,world,bbc world,0.9,0.9,1
Early crypto gems: How to discover them first,crypto,cointelegraph btc,0.6,0.7,1
"Wall Street’s next crypto play may be IPO-ready crypto firms, not altcoins",crypto,cointelegraph btc,0.6,0.75,1
The company tracking energy transition minerals back to the mines,world,climate home,0.6,0.8,1
Undersea cable attacks drive sea drone development — Stark's Vanta unmanned vessels could be an affordable solution to protecting vital infrastructure,unknown,tom's hardware,0.6,0.75,1
Paxos Labs and Aleo Network Foundation to Launch US Stablecoin,crypto,the defiant,0.6,0.7,1
Fed's Miran insists Fed has room for more cuts,unknown,fxstreet,0.6,0.75,1
Samsung and SK join OpenAI’s Stargate initiative to advance global AI infrastructure,unknown,openai blog,0.8,0.75,1
"Nepal: Deadly landslides, flash floods kill many",world,dw world,0.8,0.9,1
Populist billionaire Andrej Babis’s party set to win Czech election,world,al jazeera,0.6,0.75,1
Stablecoins Are Set to Transform Global Payments: EY-Parthenon,crypto,the defiant,0.8,0.75,1
Don’t Let the SEC Privacy Roundtable Miss the Point,crypto,the defiant,0.6,0.75,1
Crypto Majors Trade Sideways amid Geopolitical Tension,crypto,the defiant,0.6,0.75,1
Official statement from government on new policy,world,government.gov,0.8,0.9,1
"CRYPTO FALLS, STOCKS HIT ANOTHER ATH, SOL DEFI COINS SOAR",crypto,decrypt eth,0.8,0.7,1
"Despite More CVEs, Cyber Insurers Aren't Altering Policies",unknown,dark reading,0.6,0.75,1
Consume Me is a raw and funny memoir in video game form,unknown,the verge,0.6,0.8,1
Keeta Token Rallies on Mainnet Launch,crypto,the defiant,0.6,0.75,1
Home secretary wants police to get more powers to restrict repeated protests,world,bbc politics,0.6,0.85,1
How Cloud Service Disruptions Are Making Resilience Critical for Developers,unknown,dark reading,0.8,0.8,1
Google Sheds Light on ShinyHunters' Salesforce Tactics,unknown,dark reading,0.6,0.7,1
"LeBron's future, Celtics' goals sans Tatum: Biggest question for all 30 teams",sports,nba,0.6,0.75,1
Crypto Market Rebounds Despite U.S. Government Shutdown,crypto,the defiant,0.6,0.7,1
Startups and the U.S. government: It’s getting complicated,unknown,techcrunch,0.6,0.75,1
"Paolo Banchero, Trae Young: Breaking down 10 names that could define NBA season",sports,nba,0.6,0.9,1
OpenAI debuts new ChatGPT 'buy' button and open source Agentic Commerce Protocol,unknown,venturebeat,0.8,0.9,1
Base Activity Hits All-Time High on Airdrop Speculation,crypto,the defiant,0.8,0.75,1
Polymarket Taps Chainlink to Settle Price Bets,crypto,the defiant,0.6,0.75,1
BlackRock-Backed Tokenization Firm Securitize Expands to Sei,crypto,the defiant,0.6,0.8,1
GameStop promises to keep selling Game Pass Ultimate for $19.99 — company defies Microsoft's 50% price increase,unknown,tom's hardware,0.6,0.75,1
Discord data hacked in latest customer service breach to expose user information — hackers gained access via third-party support systems but didn't steal passwords,unknown,tom's hardware,0.6,0.7,1
OpenAI is huge in India. Its models are steeped in caste bias.,unknown,mit technology review ai,0.6,0.7,1
Databricks set to accelerate agentic AI by up to 100x with ‘Mooncake’ technology — no ETL pipelines for analytics and AI,unknown,venturebeat,0.8,0.9,1
The Fed's Next Move on Oct. 29: How a Scenario Few Expect Could Derail U.S. Stocks and Crypto,crypto,coindesk,0.8,0.7,1
"Motion sensors in high-performance mice can be used as a microphone to spy on users, thanks to AI — Mic-E-Mouse technique harnesses mouse sensors, converts acoustic vibrations into speech",unknown,tom's hardware,0.8,0.75,1
'Western Qwen': IBM wows with Granite 4 LLM launch and hybrid Mamba/Transformer architecture,unknown,venturebeat,0.9,0.9,1
"Al-Shabab fighters killed in Mogadishu prison assault, Somalia confirms",world,al jazeera,0.6,0.9,1
Driving sales productivity and customer success at OpenAI,unknown,openai blog,0.6,0.7,1
"Fact-checked: Trump’s UN tirade against renewables, climate deals and environmentalists",world,climate home,0.8,0.8,1
Samsung Brings Coinbase Access to 75M Wallet Users in Latest Crypto Embrace,crypto,decrypt eth,0.8,0.8,1
Fatal attack revives debate over controversial shark nets in Australia,world,bbc world,0.8,0.8,1
"My approach will pay off eventually, says Kemi Badenoch",world,bbc politics,0.5,0.75,0
A deadly obsession with True Crime in Korea | True Crime Reports,world,al jazeera,0.8,0.3,0
Adobe PDF power + Office essentials = a smart workflow upgrade for just $90,unknown,pcworld,0.3,0.75,0
One week only—a lifetime PDF editor and converter for only $25,unknown,pcworld,0.3,0.7,0
Nairobi’s ‘Birdman’: Rescuing raptors on the streets of Kenya’s capital,world,al jazeera,0.5,0.85,0
Week in Pictures: Pro-Gaza protests in Europe to floods in Sudan,world,al jazeera,0.5,0.7,0
Results and analysis from every fight,sports,espn mma,0.5,0.8,0
Key Price Breakout Sets Dogecoin On 153% Rally To Clear $0.65 – Details,crypto,newsbtc,0.6,0.65,0
Poirier wants to face Diaz in boxing: 'I'd do it',sports,espn mma,0.5,0.85,0
Wanderlei Silva breaks nose in postfight brawl,sports,espn mma,0.4,0.75,0
US: Trump plans to deploy National Guard to Chicago,world,dw world,0.8,0.6,0
Dogecoin Face-Melting Rally: This Bullish Impulse Will Send Price Toward $0.8 ATH,crypto,newsbtc,0.8,0.65,0
Counsell stands by short-rest Boyd after G1 flop,sports,espn mlb,0.4,0.9,0
Braves GM: No candidate list yet for manager,sports,espn mlb,0.4,0.95,0
⚾ Offseason questions for eliminated teams,sports,espn mlb,0.4,0.8,0
"Russia-Ukraine war: List of key events, day 1,319",world,al jazeera,0.5,0.9,0
Lithuania: Vilnius Airport reopens after closure due to suspected balloons,world,dw world,0.4,0.85,0
Philadelphia Union clinch MLS Supporters' Shield,sports,espn soccer,0.5,0.9,0
Arteta: Ødegaard 'not positive' after latest injury,sports,espn soccer,0.5,0.9,0
🎵 New Taylor Swift song name-drops Real Madrid,sports,espn soccer,0.4,0.1,0
$2B California Solar Plant To Shut Down After A Decade For The Most Frustrating Reason,world,yahoo,0.8,0.5,0
Is an end to war in sight in Gaza?,world,al jazeera,0.6,0.4,0
FBI agent suspended over refusal to 'perp walk' former director,world,bbc world,0.4,0.4,0
"After 30 Days Without Food, AI Protester Finally Quits Hunger Strike",crypto,decrypt eth,0.5,0.7,0
How The Rock transformed his body -- and mind -- into Mark Kerr,sports,espn mma,0.4,0.1,0
Pentagon contract figures show ULA’s Vulcan rocket is getting more expensive,unknown,ars technica,0.5,0.7,0
Award-winning gaming keyboard reaches a historic low of $17 just before Prime Day — get 66% off on the Apex 3 TKL for a limited time,unknown,tom's hardware,0.4,0.75,0
Anker offered Eufy camera owners $2 per video for AI training,unknown,techcrunch,0.5,0.7,0
"Phillies' Bryce Harper and wife, Kayla, welcome fourth child",sports,espn mlb,0.3,0.9,0
XRP Price Completes 7-Year Double Bottom Amid Prep For Moonshot To $19,crypto,newsbtc,0.6,0.65,0
"‘Solana Is the New Wall Street,’ Bitwise CIO Matt Hougan Explains",crypto,coindesk altcoins,0.6,0.65,0
Saka reveals Henry pep talk before Arsenal go top,sports,espn soccer,0.5,0.9,0
Daniel Ek stepping down changes nothing for Spotify,unknown,the verge,0.4,0.7,0
Lakers' Doncic to sit for first two preseason games,sports,nba,0.4,0.8,0
"Bronny cold in debut, but Redick praises growth",sports,nba,0.5,0.85,0
"Kuminga happy standoff over, focused on winning",sports,nba,0.5,0.9,0
Jovic agrees to 4-year rookie extension with Heat,sports,nba,0.5,0.75,0
Horford: Dubs obvious choice if not in Boston,sports,nba,0.5,0.6,0
"🏀 Abu Dhabi games: Knicks on camels, 76ers golf",sports,nba,0.3,0.9,0
Mariners leave All-Star Woo off ALDS roster,sports,espn mlb,0.5,0.9,0
Boone fires back at Jays broadcaster: 'He's wrong',sports,espn mlb,0.4,0.8,0
Event startup Partiful wasn’t stripping GPS locations from user-uploaded photos,unknown,techcrunch,0.4,0.8,0
Hyper 212 Pro CPU air cooler drops to an all-time low of $18 just before Prime Day — save big with a 49% discount,unknown,tom's hardware,0.4,0.75,0
Maximum Football debuts PlaySense system for Season 4,sports,espn esports,0.4,0.7,0
"One of the fastest 2TB PCIe 5.0 SSDs is down to its lowest price ever, 8 cents per gigabyte this Prime Day — Enjoy blazing-fast PCIe 5.0 storage for only $159",unknown,tom's hardware,0.4,0.85,0
Ecovacs’ Deebot X8 and X9 Pro Omni robovacs have hit a new low price,unknown,the verge,0.3,0.85,0
Tilly Norwood is a gen AI psyop,unknown,the verge,0.4,0.7,0
Shock in Gaza as Trump appears to welcome Hamas response to US peace plan,world,bbc world,0.8,0.4,0
Was Buccaneers WR Egbuka destined for MLB? His childhood dreams blossomed at the Mariners' stadium,sports,espn mlb,0.4,0.6,0
Hollywood derby gives us gritty realism rather than fairytale,sports,espn soccer,0.4,0.7,0
Who is the MVP on all 18 UEFA Women's Champions League teams?,sports,espn soccer,0.4,0.9,0
XRP To $100? Analyst Says It Could Be The Next Amazon,crypto,newsbtc,0.6,0.4,0
10 NBA teams that gained -- or lost -- the most value in offseason deals,sports,nba,0.5,0.85,0
Gauff falls to Anisimova in China Open semifinals,sports,espn tennis,0.5,0.9,0
Sinner avenges French Open loss to Altmaier,sports,espn tennis,0.4,0.2,0
Ultra-rare unreleased Pentium 4 with 4.0 GHz clock speed discovered — CPU-Z confirms it is an Intel Pentium Extreme Edition 980,unknown,tom's hardware,0.3,0.75,0
"AOL's dial-up internet service killed with a final modem screech after 34 years — America Online goes offline this week, but other dial-up services still exist",unknown,tom's hardware,0.3,1.0,0
Do you even need USB-C charging cables if this portable battery exists? My verdict after testing,unknown,zdnet,0.4,0.7,0
6 cheap deals under $25 I'd buy before Prime Day (and why you need them),unknown,zdnet,0.3,0.7,0
Sanae Takaichi set to become Japan's first female prime minister,world,bbc world,0.8,0.6,0
Green Party leader on holding government to account,world,bbc politics,0.4,0.8,0
Oregon’s National Guard lawsuit hinges on Trump’s Truth Social posts,unknown,the verge,0.5,0.7,0
"'I love you, I'm sorry': What Sean 'Diddy' Combs did the moment he learned his sentence",world,bbc world,0.4,0.6,0
Windows 7 is surging and people are ditching their iPhones - if you believe these charts,unknown,zdnet,0.3,0.15,0
Your Samsung phone has a secret Wi-Fi menu that's super useful - how to access it,unknown,zdnet,0.3,0.7,0
Rivian is redesigning the R2 SUV’s door handles for better safety,unknown,techcrunch,0.5,0.75,0
Federal Reserve Board announces approval of proposal by BancFirst Corporation,unknown,federal reserve,0.3,0.8,0
Can you think like a YC partner? This game will help you find out,unknown,techcrunch startups,0.4,0.75,0
"This trader turned $68,700 into $9.4 million by betting on BNB Chain’s viral ‘4’ memecoin",crypto,cryptoslate altcoins,0.5,0.6,0
"Fact check: Donald Trump and the ""MedBed"" myth",world,dw world,0.5,0.75,0
Crucial's 20Gb/s X10 Pro 2TB external SSD is only $149 in this early Amazon Prime Day deal — rugged and portable USB-C storage for tech lovers,unknown,tom's hardware,0.4,0.8,0
United States Baker Hughes US Oil Rig Count fell from previous 424 to 422,unknown,fxstreet,0.4,0.9,0
"Latest Madden ratings: Puka Nacua rises, Lamar Jackson falls",sports,espn esports,0.3,0.9,0
XLM Consolidates in Tight Range After Early Volatility,crypto,coindesk altcoins,0.4,0.7,0
Four fighters win by finish to earn UFC contracts in Week 8,sports,espn mma,0.5,0.85,0
'Don't you talk s--- about Steven Seagal': MMA stars rank Hollywood actors as fighters,sports,espn mma,0.3,0.9,0
'He fought too many times': How the loss to Ankalaev forced Pereira to change,sports,espn mma,0.5,0.7,0
HBAR Faces Sharp Selloff as Technical Breakdown Deepens Bearish Trend,crypto,coindesk altcoins,0.6,0.65,0
"Samsung's 49-inch OLED gaming monitor drops to lowest-ever price — max out your GPU, not your credit card, for just $879",unknown,tom's hardware,0.5,0.85,0
Michelle Mone has 'no wish' to return as Tory in House of Lords,world,bbc politics,0.4,0.75,0
Reform issues legal threat over Putin jibe,world,bbc politics,0.5,0.5,0
A LEGO Game Boy modder got it to play real Game Boy cartridges,unknown,pcworld,0.4,0.9,0
Federal Reserve Board announces approval of application by Huntington Bancshares Incorporated,unknown,federal reserve,0.3,0.9,0
EUR/USD holds modest bid amid US shutdown and mixed PMI readings,unknown,fxstreet,0.5,0.7,0
Amazon forgot the crazy at its fall hardware event,unknown,pcworld,0.4,0.9,0
Rally Arcade Classics is a fun ’90s-throwback racing game,unknown,ars technica,0.3,0.7,0
9 next-level Halloween tech gadgets that will haunt your imagination,unknown,pcworld,0.3,0.9,0
Elliott Wave forecast: SPDR S&P 500 (SPY)’s path to record peaks [Video],unknown,fxstreet,0.5,0.65,0
United States ISM Services Employment Index: 47.2 (September) vs 46.5,unknown,fxstreet,0.4,0.8,0
United States ISM Services Prices Paid increased to 69.4 in September from previous 69.2,unknown,fxstreet,0.4,0.9,0
Way-too-early top-50 rankings for 2026,sports,espn mlb,0.3,0.75,0
New deep tech fund Wave Function Ventures raises $15 million,unknown,techcrunch startups,0.5,0.8,0
